date,product_name,batch_no,test_item,value,spec_min,spec_max,analyst,equipment_id,raw_material_lot
2026-03-01,Tablet-A,NB24001,Assay,99.1,95.0,105.0,Kim,EQ-01,RM-501
2026-03-01,Tablet-A,NB24001,Dissolution,92.4,80.0,120.0,Kim,EQ-01,RM-501
2026-03-02,Tablet-A,NB24002,Assay,100.3,95.0,105.0,Lee,EQ-01,RM-501
2026-03-02,Tablet-A,NB24002,Dissolution,94.6,80.0,120.0,Lee,EQ-01,RM-501
2026-03-03,Tablet-A,NB24003,Assay,98.7,95.0,105.0,Park,EQ-02,RM-502
2026-03-03,Tablet-A,NB24003,Dissolution,90.8,80.0,120.0,Park,EQ-02,RM-502
2026-03-04,Tablet-A,NB24004,Assay,101.0,95.0,105.0,Kim,EQ-01,RM-503
2026-03-04,Tablet-A,NB24004,Dissolution,95.1,80.0,120.0,Kim,EQ-01,RM-503
2026-03-05,Tablet-B,NB24005,Assay,100.1,95.0,105.0,Choi,EQ-03,RM-601
2026-03-05,Tablet-B,NB24005,Dissolution,91.9,80.0,120.0,Choi,EQ-03,RM-601
2026-03-06,Tablet-B,NB24006,Assay,99.4,95.0,105.0,Lee,EQ-03,RM-601
2026-03-06,Tablet-B,NB24006,Dissolution,93.0,80.0,120.0,Lee,EQ-03,RM-601
2026-03-07,Tablet-B,NB24007,Assay,101.5,95.0,105.0,Han,EQ-03,RM-602
2026-03-07,Tablet-B,NB24007,Dissolution,96.2,80.0,120.0,Han,EQ-03,RM-602
2026-03-08,Tablet-B,NB24008,Assay,98.9,95.0,105.0,Lee,EQ-03,RM-602
2026-03-08,Tablet-B,NB24008,Dissolution,92.7,80.0,120.0,Lee,EQ-03,RM-602
2026-03-09,Capsule-C,NB24009,Assay,99.8,95.0,105.0,Park,EQ-02,RM-701
2026-03-09,Capsule-C,NB24009,Content Uniformity,97.4,85.0,115.0,Park,EQ-02,RM-701
2026-03-10,Capsule-C,NB24010,Assay,100.6,95.0,105.0,Kim,EQ-02,RM-701
2026-03-10,Capsule-C,NB24010,Content Uniformity,99.2,85.0,115.0,Kim,EQ-02,RM-701
2026-03-11,Capsule-C,NB24011,Assay,98.4,95.0,105.0,Choi,EQ-02,RM-702
2026-03-11,Capsule-C,NB24011,Content Uniformity,96.7,85.0,115.0,Choi,EQ-02,RM-702
2026-03-12,Capsule-C,NB24012,Assay,101.2,95.0,105.0,Park,EQ-02,RM-702
2026-03-12,Capsule-C,NB24012,Content Uniformity,101.1,85.0,115.0,Park,EQ-02,RM-702
2026-03-13,Syrup-D,NB24013,pH,4.5,4.0,5.0,Han,EQ-04,RM-801
2026-03-13,Syrup-D,NB24013,Viscosity,118.6,90.0,130.0,Han,EQ-04,RM-801
2026-03-14,Syrup-D,NB24014,pH,4.4,4.0,5.0,Lee,EQ-04,RM-801
2026-03-14,Syrup-D,NB24014,Viscosity,116.9,90.0,130.0,Lee,EQ-04,RM-801
2026-03-15,Syrup-D,NB24015,pH,4.6,4.0,5.0,Kim,EQ-04,RM-802
2026-03-15,Syrup-D,NB24015,Viscosity,121.4,90.0,130.0,Kim,EQ-04,RM-802
2026-03-16,Syrup-D,NB24016,pH,4.3,4.0,5.0,Han,EQ-04,RM-802
2026-03-16,Syrup-D,NB24016,Viscosity,119.7,90.0,130.0,Han,EQ-04,RM-802
2026-03-17,Tablet-A,NB24017,Assay,99.6,95.0,105.0,Kim,EQ-01,RM-504
2026-03-17,Tablet-A,NB24017,Dissolution,93.8,80.0,120.0,Kim,EQ-01,RM-504
2026-03-18,Tablet-B,NB24018,Assay,100.8,95.0,105.0,Lee,EQ-03,RM-603
2026-03-18,Tablet-B,NB24018,Dissolution,94.1,80.0,120.0,Lee,EQ-03,RM-603
2026-03-19,Capsule-C,NB24019,Assay,99.0,95.0,105.0,Park,EQ-02,RM-703
2026-03-19,Capsule-C,NB24019,Content Uniformity,98.6,85.0,115.0,Park,EQ-02,RM-703
2026-03-20,Syrup-D,NB24020,pH,4.5,4.0,5.0,Kim,EQ-04,RM-803
2026-03-20,Syrup-D,NB24020,Viscosity,120.8,90.0,130.0,Kim,EQ-04,RM-803
