date,product_name,batch_no,test_item,value,spec_min,spec_max,analyst,equipment_id,raw_material_lot
2026-02-01,Tablet-A,BT24001,Assay,98.7,95.0,105.0,Kim,EQ-01,RM-101
2026-02-01,Tablet-A,BT24001,Dissolution,84.1,80.0,120.0,Kim,EQ-01,RM-101
2026-02-02,Tablet-A,BT24002,Assay,99.4,95.0,105.0,Lee,EQ-01,RM-101
2026-02-02,Tablet-A,BT24002,Dissolution,86.5,80.0,120.0,Lee,EQ-01,RM-101
2026-02-03,Tablet-A,BT24003,Assay,97.9,95.0,105.0,Park,EQ-02,RM-102
2026-02-03,Tablet-A,BT24003,Dissolution,82.8,80.0,120.0,Park,EQ-02,RM-102
2026-02-04,Tablet-A,BT24004,Assay,101.2,95.0,105.0,Kim,EQ-01,RM-103
2026-02-04,Tablet-A,BT24004,Dissolution,88.7,80.0,120.0,Kim,EQ-01,RM-103
2026-02-05,Tablet-A,BT24005,Assay,96.8,95.0,105.0,Choi,EQ-02,RM-103
2026-02-05,Tablet-A,BT24005,Dissolution,83.4,80.0,120.0,Choi,EQ-02,RM-103
2026-02-06,Tablet-B,BT24006,Assay,100.5,95.0,105.0,Lee,EQ-03,RM-201
2026-02-06,Tablet-B,BT24006,Dissolution,78.6,80.0,120.0,Lee,EQ-03,RM-201
2026-02-07,Tablet-B,BT24007,Assay,106.4,95.0,105.0,Lee,EQ-03,RM-201
2026-02-07,Tablet-B,BT24007,Dissolution,76.8,80.0,120.0,Lee,EQ-03,RM-201
2026-02-08,Tablet-B,BT24008,Assay,105.8,95.0,105.0,Han,EQ-03,RM-202
2026-02-08,Tablet-B,BT24008,Dissolution,79.4,80.0,120.0,Han,EQ-03,RM-202
2026-02-09,Tablet-B,BT24009,Assay,104.9,95.0,105.0,Lee,EQ-03,RM-202
2026-02-09,Tablet-B,BT24009,Dissolution,81.2,80.0,120.0,Lee,EQ-03,RM-202
2026-02-10,Tablet-B,BT24010,Assay,108.1,95.0,105.0,Lee,EQ-03,RM-203
2026-02-10,Tablet-B,BT24010,Dissolution,77.9,80.0,120.0,Lee,EQ-03,RM-203
2026-02-11,Capsule-C,BT24011,Assay,94.2,95.0,105.0,Park,EQ-02,RM-301
2026-02-11,Capsule-C,BT24011,Content Uniformity,88.4,85.0,115.0,Park,EQ-02,RM-301
2026-02-12,Capsule-C,BT24012,Assay,93.7,95.0,105.0,Park,EQ-02,RM-301
2026-02-12,Capsule-C,BT24012,Content Uniformity,90.5,85.0,115.0,Park,EQ-02,RM-301
2026-02-13,Capsule-C,BT24013,Assay,95.6,95.0,105.0,Kim,EQ-02,RM-302
2026-02-13,Capsule-C,BT24013,Content Uniformity,113.8,85.0,115.0,Kim,EQ-02,RM-302
2026-02-14,Capsule-C,BT24014,Assay,96.2,95.0,105.0,Kim,EQ-02,RM-302
2026-02-14,Capsule-C,BT24014,Content Uniformity,116.9,85.0,115.0,Kim,EQ-02,RM-302
2026-02-15,Capsule-C,BT24015,Assay,97.1,95.0,105.0,Choi,EQ-02,RM-303
2026-02-15,Capsule-C,BT24015,Content Uniformity,87.6,85.0,115.0,Choi,EQ-02,RM-303
2026-02-16,Syrup-D,BT24016,pH,4.3,4.0,5.0,Han,EQ-04,RM-401
2026-02-16,Syrup-D,BT24016,Viscosity,121.0,90.0,130.0,Han,EQ-04,RM-401
2026-02-17,Syrup-D,BT24017,pH,5.4,4.0,5.0,Han,EQ-04,RM-401
2026-02-17,Syrup-D,BT24017,Viscosity,133.5,90.0,130.0,Han,EQ-04,RM-401
2026-02-18,Syrup-D,BT24018,pH,4.8,4.0,5.0,Lee,EQ-04,RM-402
2026-02-18,Syrup-D,BT24018,Viscosity,129.6,90.0,130.0,Lee,EQ-04,RM-402
2026-02-19,Syrup-D,BT24019,pH,3.8,4.0,5.0,Han,EQ-04,RM-402
2026-02-19,Syrup-D,BT24019,Viscosity,134.2,90.0,130.0,Han,EQ-04,RM-402
2026-02-20,Syrup-D,BT24020,pH,4.4,4.0,5.0,Kim,EQ-04,RM-403
2026-02-20,Syrup-D,BT24020,Viscosity,127.8,90.0,130.0,Kim,EQ-04,RM-403
2026-02-21,Tablet-A,BT24021,Assay,102.6,95.0,105.0,Kim,EQ-01,RM-104
2026-02-21,Tablet-A,BT24021,Dissolution,117.5,80.0,120.0,Kim,EQ-01,RM-104
2026-02-22,Tablet-A,BT24022,Assay,89.8,95.0,105.0,Lee,EQ-05,RM-105
2026-02-22,Tablet-A,BT24022,Dissolution,73.2,80.0,120.0,Lee,EQ-05,RM-105
